mean_score,median_score,std_score,var_score,min_score,max_score,skew_score,kurtosis_score,ip_count,is_non_csnp,is_artefact,dataset
0.12604035,0.0778736,0.13584186,0.01845301,0.005061386,0.54595226,1.1638643402733424,0.2583741028741246,174,False,False,EGT6_001_A_2
0.124790855,0.061818272,0.138431,0.019163141,0.0050705294,0.6043217,1.2521970176935289,0.6263321739024197,167,False,False,EGT6_001_A_2
0.11749623,0.04792603,0.13826798,0.019118035,0.0050398665,0.6202692,1.4745329990460792,1.5617898353991864,188,False,False,EGT6_001_A_2
0.11082528,0.047692984,0.1320735,0.017443413,0.005059824,0.51963943,1.2807333183855123,0.4167122575965365,173,False,False,EGT6_001_A_2
0.1115091,0.05646642,0.12693818,0.016113302,0.0050381864,0.5774266,1.3748617749147332,1.134573069654043,185,False,False,EGT6_001_A_2
0.10667993,0.052632723,0.12955154,0.016783604,0.005089377,0.5884372,1.591315590742967,1.8600572235818,170,False,False,EGT6_001_A_2
0.1034523,0.032103274,0.13162047,0.017323948,0.005074138,0.5556321,1.5912501991751684,1.7176971076626408,177,False,False,EGT6_001_A_2
0.10541685,0.04295273,0.13068813,0.017079389,0.005022085,0.61105555,1.6290241115748512,1.9664969476736247,147,False,False,EGT6_001_A_2
0.107246056,0.047870904,0.12889251,0.016613279,0.005106825,0.59248054,1.5327360324716477,1.7976423624041056,146,False,False,EGT6_001_A_2
0.09715065,0.036769524,0.1306209,0.01706182,0.0050093196,0.59248286,1.8660341415995343,2.890383360256962,142,False,False,EGT6_001_A_2
0.10309665,0.0410298,0.13099404,0.01715944,0.00513195,0.57363087,1.741870365244088,2.4022491680626468,135,False,False,EGT6_001_A_2
0.087769575,0.035783734,0.108479045,0.011767703,0.0050670695,0.4434298,1.6193098381402986,1.7039372944749784,137,False,False,EGT6_001_A_2
0.10344179,0.04579022,0.12444244,0.015485922,0.005008047,0.59104896,1.5630098289202368,2.0280321196627584,149,False,False,EGT6_001_A_2
0.08742582,0.045989536,0.10637936,0.011316569,0.005093689,0.47148648,1.8406583228074584,3.061843334748416,138,False,False,EGT6_001_A_2
0.096002445,0.037443914,0.11816288,0.013962466,0.0053261174,0.54728705,1.7029842911087976,2.2768918329852843,157,False,False,EGT6_001_A_2
0.10880773,0.041679814,0.13041623,0.017008394,0.0050682314,0.53399587,1.4160687199914532,1.1769127153463872,147,False,False,EGT6_001_A_2
0.10430727,0.05011222,0.11939191,0.0142544275,0.0050325296,0.52149147,1.5022501367732854,1.7606664835872987,171,False,False,EGT6_001_A_2
0.10735795,0.04628164,0.13136818,0.0172576,0.0050403485,0.56965446,1.651466605200438,2.07768897042582,171,False,False,EGT6_001_A_2
0.102223895,0.043953985,0.1164049,0.0135501,0.0056284,0.5572183,1.430358580171036,1.6485843049843076,172,False,False,EGT6_001_A_2
0.113524005,0.06304034,0.12501298,0.015628245,0.0050381655,0.59133303,1.4930878113520445,1.83081337197708,190,False,False,EGT6_001_A_2
0.09535475,0.040213805,0.1185306,0.014049503,0.0050162524,0.5150927,1.617591166527156,1.8842702975035608,174,False,False,EGT6_001_A_2
0.10715213,0.04422537,0.13319528,0.017740982,0.0050138417,0.6054541,1.7394451517915794,2.47641053357855,200,False,False,EGT6_001_A_2
0.09789294,0.038701996,0.11597844,0.013450999,0.005021585,0.4257795,1.3665641106781263,0.5935134532482458,194,False,False,EGT6_001_A_2
0.10325002,0.04304067,0.12308739,0.015150505,0.0050242296,0.6242557,1.4622799787829082,1.5710841653064112,206,False,False,EGT6_001_A_2
0.11682891,0.055335067,0.13433951,0.018047104,0.0051385695,0.62414926,1.5017492170906257,1.8352995360752864,219,False,False,EGT6_001_A_2
0.12532447,0.056669936,0.13676779,0.018705428,0.005066676,0.57086414,1.1578368803688563,0.4892177600565572,218,False,False,EGT6_001_A_2
0.11417673,0.06537963,0.123553686,0.015265513,0.005067163,0.517351,1.2657748700385394,0.8243774012718359,226,False,False,EGT6_001_A_2
0.12174291,0.067890845,0.12664425,0.016038768,0.005104137,0.6049194,1.2409612846587692,0.9578386958821454,236,False,False,EGT6_001_A_2
