mean_score,median_score,std_score,var_score,min_score,max_score,skew_score,kurtosis_score,mean_score_log,median_score_log,std_score_log,var_score_log,min_score_log,max_score_log,skew_score_log,kurtosis_score_log,transform_inlier_ratio,valid_count,has_artefact,has_non_csnp
0.006054279,4.6902944e-09,0.05136485,0.002638348,8.129305699999999e-35,0.9974351,12.95053954339631,192.77423511427693,-20.710419,-19.17777,11.256133,126.70052,-78.495,-0.002568245,-0.7783400163434481,0.6469779494483623,0.4583333333333333,24,False,False
0.00610462,7.3654476e-08,0.052644365,0.0027714293,0.0,0.9981554,13.231480317280315,199.3303548059844,-19.115486,-16.423882,12.529725,156.99402,-123.507065,-0.0018463135,-2.1203457503661163,7.685008993142086,0.5217391304347826,23,False,False
0.00718212,5.2140365e-08,0.052292563,0.0027345123,1.0000000000000001e-45,0.9878545,11.64048337857233,159.2010931616202,-19.732801,-16.769327,12.688386,160.99515,-103.829506,-0.012219906,-1.3608935831568745,2.973179495881766,0.5,14,False,False
0.007031718,9.0113055e-09,0.054607004,0.002981925,9.67513e-36,0.9950522,12.24038639316406,174.35512392958768,-20.452713,-18.524786,12.015341,144.36841,-80.623505,-0.00496006,-0.8832977475495029,0.8247498410030807,0.3636363636363636,22,False,False
0.00661354,9.386736e-08,0.05874937,0.0034514887,0.0,0.99783415,12.608971614206562,174.41466635075636,-20.451612,-16.181383,19.015102,361.5741,-203.4879,-0.0021681786,-4.379238721991342,26.25060273340455,0.7096774193548387,31,False,False
0.0063441913,5.0227506e-08,0.051186703,0.0026200786,0.0,0.9946936,12.84768396836874,193.3380790827834,-19.188719,-16.806704,11.889569,141.36186,-116.103836,-0.005320549,-1.6753280059989504,5.6513462279552265,0.4761904761904761,21,False,False
0.0060596075,4.835681e-08,0.049263287,0.0024268716,0.0,0.9967603,13.691090178620875,222.051672008909,-19.249517,-16.844658,13.443179,180.71906,-197.12273,-0.0032448769,-3.418117489399133,22.968307739080323,0.6785714285714286,28,False,False
0.0041890237,6.4952037e-06,0.034882393,0.0012167813,0.0,0.954543,16.23184192236965,319.99284977897133,-16.086678,-11.944447,13.865743,192.25882,-142.97787,-0.046522617,-3.4230282552904456,17.46028540808642,0.2222222222222222,9,False,False
0.0054065515,5.3191123e-08,0.048374157,0.0023400593,0.0,0.9982463,14.232303488435312,232.01303981409757,-19.50977,-16.749374,12.0838375,146.01913,-110.92445,-0.0017552376,-1.365552228232579,2.5832267177618418,0.4333333333333333,30,False,False
0.0054630092,6.625237e-08,0.047966905,0.002300824,1.0000000000000001e-45,0.99468404,13.990606073643058,227.8286232891383,-18.425713,-16.529795,10.345911,107.03788,-103.88971,-0.0053300858,-1.3463229325135244,3.465386087171545,0.84,25,False,False
0.0051045055,6.515431e-09,0.049289193,0.0024294246,2.5e-44,0.9978665,14.735673441399348,243.9679077473693,-20.702234,-18.849092,11.473413,131.6392,-100.41383,-0.0021357536,-1.1193766462540715,2.1456705895704866,0.5909090909090909,44,False,False
0.004692238,1.7866256e-08,0.049271196,0.0024276506,0.0,0.9965897,15.476092388131502,266.2593235008431,-20.107038,-17.840351,11.805808,139.3771,-108.36802,-0.0034160614,-1.6343979686424903,4.506105511171379,0.4,55,False,False
0.0044082543,3.078548e-08,0.04117068,0.0016950249,3.1400000000000004e-43,0.9971925,15.89905701344997,300.0699956926474,-20.042643,-17.296223,12.102117,146.46123,-97.865074,-0.002811432,-1.195131202042883,1.6022192037074046,0.5,28,False,False
0.004332873,8.88461e-09,0.043009974,0.0018498577,0.0,0.9965366,15.905324649181392,292.6741618217071,-20.19684,-18.538944,11.130243,123.88232,-150.39374,-0.0034694672,-1.4275348722188617,4.834202690902149,0.3846153846153846,39,False,False
0.0042659985,5.347812e-09,0.038823705,0.0015072802,2.3232300000000003e-40,0.9908123,15.317081490902895,286.9298622248435,-20.80635,-19.046577,11.247901,126.51528,-91.260445,-0.009230137,-0.8216816696427711,0.7315468887588876,0.64,25,False,False
0.0041394457,4.6324593e-09,0.044334885,0.0019655821,0.0,0.9991735,16.282168425557945,299.964759789404,-22.015062,-19.190178,14.458236,209.04057,-205.17978,-0.00082683563,-2.725070344811908,13.53821293905622,0.7894736842105263,57,False,False
0.004006869,7.635329e-10,0.04268984,0.0018224226,0.0,0.99869907,17.518100627913817,348.9134355454286,-25.344414,-20.993065,17.29043,298.95895,-157.24918,-0.0013017654,-1.6532577911058643,4.350657865951159,0.3870967741935484,62,False,False
0.0043410705,6.8441834e-09,0.038249634,0.0014630347,0.0,0.9980474,15.306318334649612,288.0008036360282,-21.007298,-18.799866,12.429862,154.50148,-143.54483,-0.0019545555,-1.2954964821503965,3.4917404919231574,0.6818181818181818,22,False,False
0.004559249,2.1549111e-08,0.042872626,0.0018380621,0.0,0.99701995,16.00213801545702,299.3565624125369,-21.218367,-17.652931,16.690308,278.56638,-197.03903,-0.0029845238,-3.194579195195661,15.374179798132785,0.4642857142857143,28,False,False
0.004750086,2.5739342e-07,0.040362068,0.0016290966,0.0,0.98602515,15.112972816775924,276.0704162521752,-18.915277,-15.172661,12.915355,166.80638,-125.19405,-0.014073372,-1.6092319320371282,3.4350342248159462,0.1578947368421052,19,True,False
0.004361879,4.875284e-07,0.03739406,0.0013983159,0.0,0.99576133,14.58182150535008,259.7370285784586,-18.859968,-14.533917,14.483015,209.75774,-133.67097,-0.0042476654,-2.39406177720596,8.018193611460546,0.25,8,True,False
0.0047569377,4.777261e-08,0.047275472,0.0022349702,0.0,0.99698097,15.299027878421953,262.4901746628777,-19.329,-16.856813,13.528475,183.01964,-177.46034,-0.0030236244,-3.792681156147384,25.531032095106667,0.7435897435897436,39,False,False
0.0042084972,2.13154e-09,0.039314568,0.0015456354,0.0,0.99726665,16.374856014823372,327.30254150229,-22.250801,-19.966421,12.980856,168.50262,-107.51024,-0.0027370453,-1.0604217154528903,1.8032265126235512,0.7419354838709677,31,False,False
0.0041975356,1.0079525e-08,0.041533098,0.0017249982,0.0,0.998921,15.88612206313748,293.4657190947527,-20.892803,-18.41276,12.499297,156.23244,-124.10279,-0.0010795593,-1.46808514236053,3.80196614793628,0.5,34,False,False
0.004460816,1.5447496e-08,0.037499875,0.0014062407,2.850267e-38,0.99512386,15.028640568253351,282.94746718821926,-20.777218,-17.985819,12.766702,162.98868,-86.45082,-0.0048880577,-0.9803736293690646,0.7315797740506995,0.75,16,False,False
0.0048333043,5.915385e-09,0.04557419,0.0020770067,0.0,0.99857855,15.311217662371623,272.08264996670323,-21.153782,-18.94571,12.369165,152.99625,-112.99039,-0.0014224052,-1.2181317002306968,2.6398804894902304,0.5833333333333334,36,False,False
0.00470657,7.688704e-09,0.051392302,0.0026411687,0.0,0.9989505,15.305905231347904,255.15187535453555,-22.45216,-18.683514,17.76826,315.71103,-222.89944,-0.0010499954,-3.630044961575956,19.59528653475018,0.7096774193548387,62,False,False
0.0043631685,4.7012094e-08,0.039315645,0.0015457198,0.0,0.99369806,15.783350109321391,294.9918329758055,-19.727695,-16.87286,12.403467,153.84601,-162.86049,-0.006321907,-1.4835340692250876,4.406771733020942,0.4761904761904761,21,False,False
0.0050150803,9.463366e-09,0.0488974,0.0023909558,2.4009999999999995e-41,0.998873,14.59450812186709,241.13943898243568,-20.140814,-18.475838,10.739103,115.32833,-93.530136,-0.0011277199,-1.0654039517633562,1.9456085695508385,0.6904761904761905,42,False,False
0.0059349407,2.7593927e-08,0.0485848,0.0023604827,0.0,0.9968269,13.450636875870892,210.85436228041075,-19.763126,-17.40567,11.883947,141.2282,-104.30033,-0.0031781197,-1.1877035023370217,2.125069547437477,0.6086956521739131,23,False,False
0.0059675006,2.6945e-08,0.049196243,0.0024202703,0.0,0.98908234,12.965333348907771,195.98260330695015,-19.922178,-17.429468,11.877508,141.0752,-108.47392,-0.010977745,-1.1577487393448969,1.8034236640897765,0.5714285714285714,21,False,False
0.005534371,2.8050408e-08,0.04688392,0.0021981017,3.925218e-34,0.99475,13.665436369412111,219.10023255762488,-18.989414,-17.389265,10.138043,102.77992,-76.92047,-0.0052638054,-0.789955960848484,0.6197390770742488,0.7083333333333334,24,False,False
0.005452769,2.3879984e-08,0.045069434,0.002031254,0.0,0.995984,13.225871898339976,206.8033009585673,-19.623537,-17.550228,11.219693,125.88152,-106.767815,-0.004024029,-1.1402663882718078,2.601077272952,0.5625,16,False,False
0.005285165,1.9884208e-08,0.046659485,0.0021771076,4.18e-43,0.9985143,14.68377546359382,253.5587176177497,-21.748365,-17.733341,14.628819,214.00237,-97.5808,-0.0014867783,-1.2812866260885356,1.599436912856178,0.5769230769230769,26,False,False
0.005754885,1.1906595e-08,0.049922854,0.0024922914,3.1394e-40,0.9977062,13.544733134663744,210.10942247654688,-20.544426,-18.246174,12.075876,145.8268,-90.95937,-0.0022964478,-1.1034014382023,1.592640343612212,0.5555555555555556,27,False,False
0.0050325743,3.1280756e-08,0.047640033,0.0022695728,0.0,0.9964486,15.11532266896558,260.4774538436643,-20.447699,-17.280262,14.463454,209.1915,-187.39682,-0.003557682,-3.030835114222412,17.608970762707518,0.7567567567567568,37,False,False
0.004677621,1.7878374e-08,0.04407376,0.0019424963,0.0,0.9977271,15.452486068306818,278.64852890236665,-20.218874,-17.839674,12.022088,144.5306,-116.65984,-0.002275467,-1.382648540534566,3.253577655105606,0.5806451612903226,31,False,False
0.004192809,4.2731685e-09,0.04845208,0.002347604,0.0,0.9974351,16.24086643279948,288.46532671132235,-22.560598,-19.27091,15.501444,240.29475,-207.3985,-0.002568245,-3.100371753410151,16.800635374009413,0.7647058823529411,68,False,False
0.0037341157,4.7432467e-09,0.038590983,0.001489264,0.0,0.9965788,17.48417674229981,360.5355514014795,-21.397383,-19.166544,12.295806,151.18684,-133.3089,-0.0034270287,-1.2072256889440902,2.4589958575747044,0.5909090909090909,44,False,False
0.0037090988,7.424779e-09,0.039677452,0.0015743001,0.0,0.99692816,17.78044266181455,365.58556877316056,-20.236248,-18.718443,10.615583,112.690605,-106.42397,-0.0030765533,-1.0415697246351516,2.189894019931698,0.76,50,False,False
0.0039696116,7.0277357e-09,0.043748405,0.0019139231,0.0,0.99668574,16.790438208053732,318.5432055345088,-21.2974,-18.773401,12.568909,157.97746,-124.120255,-0.0033197403,-1.7273365635608795,5.445978047671318,0.3666666666666666,60,False,False
0.0039931918,1.9941546e-09,0.040404245,0.0016325031,0.0,0.9993298,16.656049279072487,327.0890552750064,-22.574104,-20.033047,13.201334,174.27522,-134.48409,-0.00067043304,-1.214400045519015,2.5812350860951403,0.7674418604651163,43,False,False
0.0036596865,6.448315e-08,0.039713647,0.0015771738,0.0,0.999509,17.82231148682624,363.93372930138446,-21.640999,-16.556862,21.50188,462.3309,-320.1062,-0.0004911423,-5.190600317581988,39.649033176009375,0.1875,48,True,False
0.003776162,1.7548182e-08,0.044797316,0.0020067997,0.0,0.9969329,16.877284396326015,313.55869680774094,-22.725857,-17.858315,19.121296,365.624,-201.33124,-0.003071785,-3.412497987610808,16.2814524666039,0.1774193548387097,62,True,False
0.004088753,3.6815802e-09,0.044697374,0.0019978553,0.0,0.99940324,16.505371126403507,307.3926842334632,-22.306482,-19.419924,13.974115,195.2759,-154.25713,-0.0005970001,-2.097513738327111,7.71928639137233,0.6153846153846154,52,False,False
0.0045847776,1.8722158e-08,0.039702095,0.0015762562,2.0135000000000002e-41,0.99880767,14.621012866612167,263.8888860531206,-20.058807,-17.793558,11.595301,134.45099,-93.70612,-0.0011930466,-1.0946321077400254,1.5492205140109585,0.8235294117647058,17,False,False
0.0049019326,5.67861e-08,0.0423478,0.001793336,0.0,0.99549174,14.744058419952111,263.61761169930685,-19.402287,-16.683975,12.224957,149.44958,-105.880615,-0.004518509,-1.5320100843923028,3.5229240157531674,0.782608695652174,23,False,False
