,index,mean_score,median_score,std_score,var_score,min_score,max_score,valid_count,transform_inlier_ratio
211,211,0.005419733,1.0321948e-09,0.046345443,0.0021479,0.0,0.99814355,24,0.7083333333333334
212,212,0.005384303,6.9858537e-09,0.05366918,0.002880381,1.5183e-41,0.99765855,58,0.5
213,213,0.005224734,3.2480352e-09,0.05443221,0.0029628656,0.0,0.9981007,70,0.42857142857142855
214,214,0.005283529,2.874784e-09,0.053731374,0.0028870604,0.0,0.9989105,57,0.5614035087719298
215,215,0.0046478077,1.2857278e-07,0.04464091,0.0019928108,0.0,0.9938099,34,0.2647058823529412
216,216,0.005124911,1.2888768e-09,0.049845442,0.0024845682,4.183e-42,0.9966368,48,0.4791666666666667
217,217,0.0051537957,9.64133e-09,0.050205085,0.0025205505,0.0,0.9971896,50,0.54
218,218,0.0051684277,4.9622457e-09,0.0510623,0.0026073586,0.0,0.9985401,55,0.41818181818181815
219,219,0.005287337,8.068493e-08,0.044542644,0.001984047,0.0,0.9983639,27,0.2962962962962963
220,220,0.0048409738,6.3368745e-08,0.04674502,0.002185097,0.0,0.9970204,36,0.16666666666666666
221,221,0.005171396,4.5436392e-09,0.05789,0.0033512523,1.3e-44,0.9983562,81,0.30864197530864196
222,222,0.0052646045,7.0060695e-09,0.049644563,0.0024645827,0.0,0.9997273,43,0.4418604651162791
223,223,0.0054214895,1.3065187e-08,0.056801613,0.0032264234,0.0,0.9983415,66,0.42424242424242425
224,224,0.005217774,4.6687116e-09,0.04965751,0.0024658681,0.0,0.9974678,42,0.7380952380952381
225,225,0.0054095346,1.2030614e-08,0.055456392,0.0030754115,0.0,0.99863344,71,0.29577464788732394
226,226,0.005312163,1.4507242e-09,0.062377185,0.0038909132,0.0,0.999122,104,0.2980769230769231
227,227,0.0054103346,3.4433887e-09,0.049248915,0.0024254557,0.0,0.9995128,37,0.4864864864864865
228,228,0.005561586,8.667715e-09,0.05315976,0.0028259598,0.0,0.9970903,49,0.40816326530612246
229,229,0.0054768343,8.2120055e-10,0.05511481,0.0030376422,0.0,0.99743307,60,0.5333333333333333
230,230,0.0054278662,8.634327e-09,0.05173484,0.0026764935,0.0,0.9982696,45,0.3333333333333333
231,231,0.005500972,1.3026346e-08,0.050567005,0.002557022,0.0,0.99890196,43,0.3953488372093023
232,232,0.0057756957,1.9890773e-09,0.050272133,0.0025272875,1.54e-43,0.9970447,37,0.35135135135135137
233,233,0.0055207494,2.0009924e-08,0.050404742,0.002540638,0.0,0.9973609,38,0.2894736842105263
234,234,0.0053776638,1.4877093e-08,0.04813311,0.0023167962,0.0,0.99952805,35,0.34285714285714286
235,235,0.0049066828,1.2733355e-08,0.046974927,0.0022066438,0.0,0.99670523,47,0.44680851063829785
236,236,0.004648092,7.438209e-09,0.05329695,0.0028405648,0.0,0.99841774,77,0.6623376623376623
237,237,0.0049252775,1.1687588e-08,0.048883177,0.0023895649,0.0,0.9970651,46,0.6521739130434783
238,238,0.0050024623,7.171419e-09,0.048151474,0.0023185643,0.0,0.99760157,47,0.7659574468085106
239,239,0.00474655,3.2718872e-09,0.055859204,0.0031202505,0.0,0.9990968,89,0.4157303370786517
240,240,0.0046934756,6.34016e-09,0.05319124,0.0028293082,0.0,0.99786603,78,0.48717948717948717
241,241,0.0051466683,9.364861e-09,0.054417677,0.0029612835,0.0,0.99873286,70,0.4142857142857143
242,242,0.0049589546,2.6006656e-08,0.04414488,0.0019487704,0.0,0.99278396,34,0.7352941176470589
243,243,0.0048156125,2.5693385e-09,0.05648909,0.0031910175,0.0,0.9992635,97,0.41237113402061853
244,244,0.0043678437,2.3410367e-09,0.04497586,0.0020228277,0.0,0.9979403,54,0.5740740740740741
245,245,0.0043249805,3.2193244e-09,0.048220843,0.0023252498,0.0,0.99964625,74,0.40540540540540543
246,246,0.00472534,2.4153293e-09,0.045525968,0.0020726137,0.0,0.995243,42,0.47619047619047616
247,247,0.00473451,3.950453e-09,0.05404485,0.0029208458,0.0,0.99818534,87,0.6091954022988506
248,248,0.00446462,2.7896343e-09,0.044887308,0.0020148705,2.474253e-35,0.9972491,49,0.673469387755102
249,249,0.004417434,4.5192683e-10,0.04437917,0.001969511,1.7e-44,0.99891245,46,0.8043478260869565
250,250,0.004323734,4.290598e-09,0.044659182,0.0019944424,0.0,0.9970518,56,0.625
251,251,0.0041314824,6.358601e-10,0.05211839,0.0027163269,0.0,0.9993622,113,0.7876106194690266
252,252,0.003995141,1.2262587e-08,0.043953106,0.0019318754,0.0,0.9990249,62,0.14516129032258066
253,253,0.0039165663,2.9047875e-08,0.04321422,0.0018674689,0.0,0.9984952,58,0.13793103448275862
254,254,0.004171538,1.033124e-09,0.049777146,0.0024777644,0.0,0.99757254,91,0.5714285714285714
255,255,0.0040972433,3.063655e-10,0.05132016,0.0026337588,0.0,0.99935985,105,0.7523809523809524
256,256,0.003986804,1.888465e-09,0.044796243,0.0020067033,0.0,0.99766284,78,0.6025641025641025
257,257,0.003865097,1.010408e-09,0.048760116,0.002377549,0.0,0.9988328,105,0.7047619047619048
258,258,0.003738039,1.3334664e-09,0.04833124,0.0023359086,0.0,0.9975369,115,0.5826086956521739
259,259,0.0037312203,2.45742e-09,0.050265934,0.0025266642,0.0,0.99901336,130,0.6076923076923076
260,260,0.003963879,1.6439688e-09,0.04699335,0.002208375,0.0,0.9986538,85,0.4470588235294118
261,261,0.0041351332,1.3888486e-10,0.051835716,0.0026869415,0.0,0.99929506,107,0.3364485981308411
